iter	Passed	Remaining
922	4657	388
923	4662	383
924	4667	378
925	4672	373
926	4677	368
927	4682	363
928	4687	358
929	4692	353
930	4696	348
931	4701	343
932	4706	337
933	4711	332
934	4716	327
935	4721	322
936	4725	317
937	4730	312
938	4735	307
939	4740	302
940	4745	297
941	4750	292
942	4755	287
943	4760	282
944	4764	277
945	4769	272
946	4774	267
947	4779	262
948	4785	257
949	4790	252
950	4795	247
951	4800	242
952	4806	237
953	4811	231
954	4816	226
955	4822	221
956	4827	216
957	4832	211
958	4837	206
959	4843	201
960	4848	196
961	4853	191
962	4858	186
963	4864	181
964	4869	176
965	4874	171
966	4880	166
967	4885	161
968	4890	156
969	4895	151
970	4901	146
971	4906	141
972	4912	136
973	4917	131
974	4922	126
975	4927	121
976	4932	116
977	4938	111
978	4942	106
979	4947	100
980	4952	95
981	4957	90
982	4963	85
983	4969	80
984	4974	75
985	4979	70
986	4984	65
987	4989	60
988	4994	55
989	4999	50
990	5004	45
991	5008	40
992	5014	35
993	5018	30
994	5023	25
995	5028	20
996	5033	15
997	5039	10
998	5044	5
999	5049	0
